"artifact","direct_usages"
"commons-lang:commons-lang:2.1","48"
"concurrent:concurrent:1.3.4","48"
"commons-beanutils:commons-beanutils:1.8.0","48"
"commons-cli:commons-cli:1.2","48"
"commons-digester:commons-digester:1.7","48"
"org.slf4j:jcl-over-slf4j:1.6.1","48"
"xml-resolver:xml-resolver:1.2","47"
"javax.servlet:servlet-api:2.3","47"
"org.springframework:spring-context:2.5.6","46"
"xml-apis:xml-apis:1.0.b2","46"
"org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.0.2","45"
"org.ow2.easybeans:easybeans-asm:3.0","45"
"org.apache.axis:axis-jaxrpc:1.4","44"
"jaxen:jaxen:1.1.1","44"
"antlr:antlr:2.7.6","44"
"org.springframework:spring-core:2.5.6","44"
"org.jdom:jdom:1.1","43"
"javax.ws.rs:jsr311-api:1.1.1","43"
"org.ow2.easybeans:easybeans-asm-commons:3.0","43"
"net.sourceforge.findbugs:jsr305:1.3.2","42"
"org.codehaus.jettison:jettison:1.1","42"
"joda-time:joda-time:2.0","42"
"joda-time:joda-time:1.6","42"
"org.apache.ant:ant:1.7.1","42"
"org.apache.ant:ant:1.7.0","42"
"xalan:xalan:2.7.1","42"
"log4j:log4j:1.2.15","40"
"org.slf4j:slf4j-api:1.6.2","40"
"javax.servlet:servlet-api:2.4","40"
"javax.help:javahelp:2.0.02","40"
"org.springframework:spring-core:3.0.5.RELEASE","39"
"org.codehaus.plexus:plexus-utils:2.0.5","39"
"com.google.collections:google-collections:1.0","39"
"commons-io:commons-io:1.3.1","38"
"com.google.code.findbugs:jsr305:1.3.9","38"
"net.sourceforge.findbugs:annotations:1.3.2","38"
"jline:jline:0.9.94","37"
"org.apache.maven:maven-project:2.0","37"
"commons-lang:commons-lang:2.2","36"
"net.sourceforge.collections:collections-generic:4.01","36"
"org.apache.maven:maven-plugin-api:2.0.4","36"
"javax.xml.soap:saaj-api:1.3","36"
"commons-discovery:commons-discovery:0.4","36"
"javax.faces:jsf-impl:1.2_08","35"
"com.googlecode.jtype:jtype:0.1.0","34"
"org.apache.neethi:neethi:2.0.4","34"
"junit:junit:4.8.1","34"
"com.sun.xml.bind:jaxb-impl:2.1.13","34"
"org.glassfish.hk2:osgi-resource-locator:1.0.1","34"
"commons-digester:commons-digester:2.0","34"
"org.apache.felix:org.osgi.compendium:1.2.0","33"
"junit:junit:4.8.2","33"
"com.intellij:annotations:7.0.3","33"
"org.ow2.carol:carol-interceptors:1.0.1","32"
"org.eclipse.persistence:javax.persistence:2.0.3","32"
"org.springframework:spring-beans:3.0.5.RELEASE","32"
