artifact,union_find
org.codehaus.plexus:plexus-archiver:1.0-alpha-3,30125
org.apache.ant:ant:1.7.0,30125
org.apache.ant:ant-launcher:1.7.0,30125
com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.15b,331
org.apache.geronimo.testsupport:test-war-javaee_5:3.0.0,332
org.jbehave:jbehave-odf:3.5-beta-1,30125
org.jbehave:jbehave-core:3.5-beta-1,30125
com.thoughtworks.paranamer:paranamer:2.3,30125
org.odftoolkit:odfdom-java:0.8.7,30125
xml-apis:xml-apis:1.3.04,30125
com.sun.grizzly:grizzly-http-servlet-deployer:1.9.35,30125
com.sun.grizzly:grizzly-http:1.9.35,30125
com.sun.grizzly:grizzly-framework:1.9.35,30125
com.sun.grizzly:grizzly-rcm:1.9.35,30125
com.sun.grizzly:grizzly-portunif:1.9.35,30125
com.sun.grizzly:grizzly-utils:1.9.35,30125
com.sun.grizzly:grizzly-lzma:1.9.35,30125
com.sun.grizzly:grizzly-http-servlet:1.9.35,30125
com.sun.grizzly:grizzly-servlet-deployer:1.9.35,30125
com.sun.grizzly:grizzly-compat:1.9.35,30125
com.sun.grizzly:grizzly-comet:1.9.35,30125
com.sun.grizzly:grizzly-cometd:1.9.35,30125
com.sun.grizzly:grizzly-websockets:1.9.35,30125
javax.servlet:servlet-api:2.5,30125
org.seleniumhq.selenium:selenium-support:2.0b2,30125
org.seleniumhq.selenium:selenium-api:2.0b2,30125
com.google.guava:guava:r07,30125
org.hamcrest:hamcrest-all:1.1,30125
junit:junit:4.8.1,30125
org.kohsuke:graphviz-api:1.1,357
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-access:0.9.30,30125
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.30,30125
de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.30,30125
de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.3,30125
de.huxhorn.sulky:de.huxhorn.sulky.generics:0.9.3,30125
ch.qos.logback:logback-core:0.9.9,30125
de.huxhorn.lilith:de.huxhorn.lilith.data.access:0.9.30,30125
de.huxhorn.lilith:de.huxhorn.lilith.data.eventsource:0.9.30,30125
org.slf4j:slf4j-api:1.5.0,30125
