artifact,betweenness_centrality
org.glassfish.packager:glassfish-jta:3.1-b40,817
org.glassfish.packager:glassfish-registration:3.1-b40,816
org.apache.maven:maven-project:2.0.9,809.733333333333
org.glassfish.packager:glassfish-upgrade:3.0-b74a,809
org.glassfish.packager:glassfish-jca:3.1.1-b02,809
commons-configuration:commons-configuration:1.6,807.9
org.glassfish.packager:glassfish-javahelp:3.0-b74a,806.5
org.glassfish.packager:glassfish-grizzly-full:3.1.1-b02,806
org.glassfish.packager:shoal:3.1-b12,805
org.glassfish.packager:glassfish-nucleus:3.1.1-b10,804
org.glassfish.packager:glassfish-ejb-lite:3.0-b74,802
org.glassfish.packager:glassfish-osgi-http:3.1-b40,802
org.glassfish.packager:glassfish-common-full:3.1-b31,795
com.sun.grizzly:grizzly-config:1.9.19-beta6,793.5
org.glassfish.packager:shoal:3.1.1,793
org.glassfish.packager:glassfish-common-tmp:3.1-b31,792
org.glassfish.packager:glassfish-common-tmp:3.1-b30,792
com.sun.enterprise:hk2:1.1.0,786.75
org.glassfish.packager:glassfish-jpa:3.1.1-b02,785
org.glassfish.packager:shoal:3.1-b31,782
org.glassfish.packager:shoal:3.1-b30,782
org.glassfish.packager:glassfish-common-tmp:3.1-b12,780
commons-configuration:commons-configuration:1.3,773.833333333333
org.glassfish.packager:glassfish-common-full:3.1-b12,773
org.glassfish.packager:glassfish-ejb:3.1.1-b10,773
org.glassfish.packager:glassfish-registration:3.1.1-b11,771
org.glassfish.packager:glassfish-management:3.1-b40,770
org.glassfish.packager:glassfish-corba-base:3.1.1-b02,767
org.glassfish.packager:glassfish-jts:3.0-b74a,766.833333333333
org.glassfish.packager:glassfish-javahelp:3.1.1-b05,764
org.glassfish.upgrade:upgrade-tool:3.0-b63,756.5
org.glassfish.packager:glassfish-common-tmp:3.1-b40,756
org.glassfish.packager:glassfish-jsf:3.1.1-b01,755
org.glassfish.packager:glassfish-grizzly-full:3.1.1-b10,754.5
org.glassfish.packager:glassfish-corba-base:3.1.1-b10,754.5
org.glassfish.packager:glassfish-web:3.1.1-b01,752
commons-discovery:commons-discovery:0.4,744.5
org.glassfish.packager:glassfish-cluster:3.1.1,741
org.glassfish.packager:glassfish-jts:3.0-b63,738
org.glassfish.packager:shoal:3.1-b40,731
org.glassfish.packager:glassfish-common-full:3.0-b74,729
org.hibernate:hibernate:3.2.6.ga,726.97619047619
org.glassfish.web:webtier-all:3.1-b30,726
org.glassfish.packager:glassfish-corba:3.1.1-b02,716
org.glassfish.packager:glassfish-jts:3.0.1-b08,712
org.glassfish.packager:glassfish-cluster:3.1-b17,708
org.glassfish.packager:glassfish-upgrade:3.1.1-b05,707
org.apache.maven:maven-core:2.0.7,704.021428571429
org.glassfish.packager:glassfish-ha:3.1-b17,704
org.springframework:spring-context:3.0.5.RELEASE,701.609523809524
org.glassfish.packager:glassfish-jms:3.0.1-b08,696
com.sun.enterprise:config:1.0.25,682
org.glassfish.cluster:cluster-cli:3.1-b12,682
org.apache.maven:maven-project:2.0.6,681.833333333333
org.glassfish.packager:glassfish-management:3.1.1-b11,672
