artifact,hcentrality
org.ops4j.pax.web.archetypes:war-archetype:1.1.7,0
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jing:20030619_3,0
org.mortbay.jetty:jetty-setuid:7.4.0.RC0,0
org.glassfish.metro:metro-config:2.1-20,0
org.ow2.jonas.camel:camel-jonas5-cxf:1.1.0,0
org.jvnet.hudson.plugins:rake:1.5,0
org.codehaus.mojo.archetypes:webapp-j2ee13:1.0,0
org.glassfish.admingui:console-corba-plugin:3.0.1-b05,0
org.ow2.jasmine:vmmapi:1.0.0,0
maven:maven-cactus-plugin:1.1,0
org.mortbay.jetty:start:6.1H.6,0
org.bitstrings.eclipse.m2e.connectors.jaxb2:org.bitstrings.eclipse.m2e.connectors.jaxb2.tests:1.0.3,0
org.ow2.easybeans:easybeans-jpa-toplink-essentials-glue:1.0.1,0
org.codehaus.plexus:plexus-compiler:1.8.6,0
cocoon:cocoon-axis:2.1.9,0
org.apache.maven.mercury:mercury-util:1.0.0-alpha-4,0
org.mortbay.jetty.example:jetty-examples-parent:7.0.0.pre4,0
org.mortbay.jetty.testwars:test-war-servlet25:7.5.2.v20111006,0
com.sun.jersey.archetypes:jersey-quickstart-grizzly:1.9-ea06,0
cactus:cactus-ant:1.4.1,0
org.apache.camel.archetypes:camel-archetype-java:2.8.1,0
org.codehaus.plexus.redback:redback-authentication-memory:1.0-alpha-4,0
org.apache.geronimo.components:geronimo-txmanager-parent:2.2,0
org.eclipse.birt.runtime:org.eclipse.core.jobs:3.5.200.v20120521-2346,0
org.juzu:juzu-parent:0.6.0-beta3,0
org.glassfish.connectors:descriptors:3.1-b34,0
org.mortbay.jetty.testwars:dummy-java16-lib:7.4.1.v20110513,0
org.jboss.logmanager:jboss-logmanager:1.2.0.CR9,0
org.ow2.easybeans:easybeans-jpa-default-openjpa:1.2.2,0
org.sonatype.nexus.plugins:nexus-rrb-plugin:2.1-RC1,0
org.ops4j.pax.web:pax-web-api:1.0.6,0
com.sun.corba:glassfish-corba-omgapi:3.1.0-b018,0
org.ow2.spec.ee:ow2-atinject-1.0-spec:1.0.5,0
org.ow2.easybeans:easybeans-assembly-distrib:1.0.2,0
com.sun.xml.ws:jaxws-ri:2.2.5-promoted-b04,0
org.nuiton:jaxx:2.0.0-beta-5,0
org.apache.maven.release:maven-release:2.2,0
com.sun.xml.ws:webservices:2.0-b04,0
org.codehaus.fabric3:fabric3-xquery:0.7,0
org.apache.servicemix.examples.bridge-camel:bridge-camel-su:4.2.0,0
org.ow2.jonas:jonas-migration-jboss:5.3.0-M2,0
org.apache.tuscany.sca:tuscany-sca-tools:1.6.1,0
org.glassfish.external:management-api-sources:3.0.0-b003,0
com.sun.enterprise:osgi-main:1.0.20,0
org.codehaus.plexus.redback:redback-xwork-example:1.0,0
org.codehaus.cargo:cargo-core-uberjar:1.0-beta-2,0
commons-collections:commons-collections:20040616,0
org.apache.tuscany.sca:tuscany-contribution-jar:2.0-Beta3,0
net.sourceforge.ccxjc:cc-xjc-dist:1.0-beta-12,0
org.apache.camel.archetypes:camel-archetype-war:2.3.0,0
org.glassfish.admingui:console-common-full-plugin:3.1-b05,0
com.cedarsoft.commons.old:xml-commons:2.0.4,0
org.objectweb.fractal.fractaladl:toolchain-parent:2.4,0
org.ow2.jonas:jonas-webservices-cxf:5.2.0-M3,0
org.apache.tika:tika-core:0.5,0
org.ow2.jasmine:jasmine-event-api:1.4.1-M3,0
org.eclipse.jetty.tests:test-webapps-parent:7.0.0.RC5,0
com.madgag:ssh:1.1,0
org.apache.cxf:cxf-common:2.2.6,0
org.openengsb.docs:openengsb-docs-examples:1.2.0.RC2,0
org.jvnet.ogc:ogc-tools:1.0.2,0
org.apache.tomcat:tomcat-annotations-api:7.0.4,0
org.glassfish:appclient:3.0-Preview-b47a,0
org.mule:mule:3.3.0-RC1,0
org.ow2.jonas:jonas-management-api:5.3.0-M1,0
org.jomc:jomc-spi:1.0-alpha-9,0
com.sun.enterprise:osgi-main:1.0.33,0
org.apache.servicemix.specs:org.apache.servicemix.specs.jsr303-api-1.0.0:1.7.0,0
org.sakaiproject.announcement:sakai-announcement-help:2.9.0-b06,0
openim:openim-server-impl:1.2,0
org.glassfish.deployment:dtds:3.1-b38,0
org.glassfish.extras:appserv-rt-pom:3.1-b36,0
org.apache.geronimo.specs:geronimo-validation_1.0_spec:1.0,0
org.glassfish.packager:glassfish-full-profile:3.1-b05,0
org.hornetq:hornetq-core-client:2.2.1.QA-10278,0
org.mortbay.jetty:jetty-j2sehttpspi:7.5.2.v20111006,0
org.wamblee:wamblee-security:0.2.3,0
org.ow2.jonas:jonas-generators:5.1.6,0
org.apache.geronimo.plugins:debugviews-portlets:2.1.6,0
org.apache.servicemix.specs:org.apache.servicemix.specs.jsr303-api-1.0.0:2.0.0,0
org.ow2.jasmine.monitoring:jasmine-eos-rules-editor:1.2.1-M4,0
org.ajax4jsf:ajax4jsf:1.0.4,0
org.dojotoolkit:dojo-war:1.3.0b1,0
org.apache.myfaces:myfaces:8,0
org.dspace.xmlui.cocoon:cocoon-deprecated:2.1.9,0
org.apache.archiva:archiva:1.2.1,0
org.cometd.javascript:cometd-javascript-common:2.0.beta0,0
org.ow2.orchestra:orchestra-jmxclient:4.4.2,0
net.sf.derquinsej:derquinsej:0.0.5,0
org.apache.myfaces.trinidad:trinidad-api:1.0.7,0
org.tynamo:tynamo-common:0.0.3,0
com.sun.grizzly:grizzly-jruby:1.7.27,0
org.glassfish.jdbc.jdbc-ra:jdbc-ra:3.1-b04,0
fr.velossity.osgi:iPOJOServiceProvider:1.0.8,0
com.sun.corba:glassfish-corba-source:3.1.0-b022,0
org.kuali.common:kuali-deploy:1.2.18,0
org.ow2.jasmine.kerneos:kerneos-modules:1.3.1-M2,0
org.codehaus.groovy.maven:gmaven-packaging:1.0-rc-5-kohsuke-1,0
fr.velossity.osgi:ServiceRequester:1.0.9,0
org.glassfish.cluster:cluster:3.1-b01,0
org.sonatype.flexmojos:flexmojos-archetypes-library:3.4.2,0
org.glassfish:glassfish-parent:3.0.1-b10,0
org.jdtaus.banking:jdtaus-banking-charsets:1.11.2,0
org.springframework:spring-webmvc:1.0-rc1,0
org.glassfish.jms:jms:3.0-b73,0
org.apache.felix:org.apache.felix.main.distribution:4.0.0,0
org.projectlombok:lombok:0.10.1,0
org.ioke:ioke-lang:P-0.4.0-p11,0
com.proofpoint.platform:launcher:0.45,0
org.apache.uima:ConceptMapper:2.3.1,0
org.xsocket:xSocket:2.5.3,0
org.glassfish.docs.man:manpages:3.0.1-b02,0
com.linkedin.sensei:sensei-hadoop-indexing:1.5.4,0
org.jvnet.hudson.main:pom:1.216,0
com.sun.pkg:pkg-client:1.109-24.1852,0
org.cometd.java:cometd-java:2.0.0.RC3,0
org.glassfish.persistence:glassfish-oracle-jdbc-driver-packages:3.2-b05,0
org.codehaus.sonar-plugins:sonar-radiator-plugin:1.0.1,0
com.liferay.maven.archetypes:liferay-ext-archetype:6.1.10,0
org.apache.httpcomponents:httpcomponents-client:4.0-alpha2,0
com.jnape.dynamic-collections:dynamic-collections:1.0,0
org.ow2.jonas:jonas-itests-applications-connection-leaks:5.2.3,0
net.liftweb:lift:1.0.1,0
org.apache.aries.application:org.apache.aries.application.runtime.itests:0.2.1,0
com.cedarsoft.commons.old:mail:3.0.0,0
org.glassfish.admingui:console-jms-plugin:3.1.1,0
org.sonatype.appbooter.plexus-platforms:plexus-platform-jsw:1.6.4,0
geronimo:ldap-demo-jetty:1.1.1,0
org.ow2.jonas:jonas-jca-jdbc:5.2.3,0
it.tidalwave.northernwind:northernwind-social:1.2,0
org.springframework:spring-aop:1.2-rc1,0
com.pholser:property-binder:2.0,0
net.officefloor.example:DatabaseHttpServer:1.0.1,0
org.sonatype.nexus:nexus:1.8.0,0
org.codehaus.plexus.redback:redback-authentication-open:1.0-alpha-2,0
org.codehaus.httpcache4j:httpcache4j-it:4.0-M2,0
org.sakaiproject.lessonbuilder:sakai-lessonbuildertool-hbm:1.4.0-b06,0
org.glassfish.web:web-embed:3.0-b72,0
org.apache.cxf:cxf-tools-javato:2.3.4,0
org.ow2.easybeans:easybeans-ant-tasks:1.0.0,0
com.sun.jersey.glassfish.v32:glassfish-packages:1.10-b01,0
org.glassfish:osgi-jpa-extension:3.1.1-b04,0
org.jbundle.config:jbundle-config-reactor:0.7.7,0
org.codehaus.sonar-plugins:sonar-ant-task:1.0,0
org.openengsb.domain:openengsb-domain-notification:1.0.0.RC5,0
org.shoal:shoal-gms-api:1.5.18,0
org.codehaus.sonar.plugins:sonar-design-plugin:2.11,0
org.glassfish.registration:registration:3.2-b04,0
org.codehaus.cargo:cargo-core-tools-jboss-deployer-5:1.1.1,0
net.sf.hammockmocks:hammock_core_cldc11:2.1.0,0
org.jvnet.hudson.plugins:backlog:1.1,0
org.glassfish.admingui:console-jdbc-plugin:3.0-b71,0
com.vaadin:vaadin:6.5.0.pre2,0
org.apache.openwebbeans.build-tools:checkstyle-rules:1.0.0,0
net.ladstatt:scala-javafx-archetype:0.1,0
org.simplericity.macify:macify:1.6,0
org.mule.examples:mule-example-loanbroker-credit-agency:3.3.0-RC2,0
com.projectdarkstar:sgs:15,0
com.sun.xml.ws:jaxws-ri:2.2.7-promoted-b21,0
org.glassfish.registration:registration:3.0.1-b11,0
org.codehaus.groovy:groovy-eclipse-batch:2.0.0-01,0
com.sun.grizzly.samples:grizzly-twitter:1.9.55,0
org.ops4j.pax:exam-reactor:3.0.0.M2,0
org.webjars:less:1.3.1,0
org.openengsb.connector:openengsb-connector-plaintextreport:1.0.1.RELEASE,0
com.sun.xml.bind:jaxb1-impl:2.2.2-promoted-b93,0
org.apache.openejb:openejb-api:3.1.4,0
org.codehaus.plexus.redback.old:redback-authentication:1.0-alpha-1,0
org.hornetq:hornetq-core:2.2.0.QA-10117,0
org.ow2.easybeans.osgi:easybeans-osgi:1.1.0-RC2,0
org.apache.geronimo.samples:inventory-war:2.2.1,0
org.apache.karaf.cellar:apache-karaf-cellar:2.2.5,0
org.ikasan.demo:demoTransformationRouting-frenchNumberTgt-jar:0.7.2,0
org.mongodb:mongo-java-driver:2.5,0
org.jomc:jomc-api:1.0-alpha-8,0
org.nuiton:mavenpom4labs:2.5.4,0
org.acegisecurity:acegi-security-jetty:1.0.0-RC2,0
org.codehaus.sonar-plugins.pdf-report:parent:1.2.1,0
org.glassfish.admingui:console-common-help:3.1-b07,0
org.jvnet.hudson.main:remoting:1.242,0
org.sonatype.nexus:nexus-clients:1.6.1,0
org.codehaus.jtstand:jtstand-common:1.3.3,0
org.nucleus8583:nucleus8583-core:2.3.0,0
org.glassfish.embedded:embedded:3.0-Prelude-Embedded-b13,0
org.pustefixframework.maven.archetypes:pustefix-archetypes:0.15.26,0
org.glassfish.admin:admin:3.1-b32,0
org.mortbay.jetty:jetty-jaxws2spi:7.0.1.v20091125,0
