artifact,trans_usages
org.eclipse.jetty:jetty-servlet:7.5.4.v20111024,4
com.thoughtworks.qdox:qdox:1.12,10
org.sonatype.spice:spice-utils:1.0.0,10
com.sun.corba:glassfish-corba-csiv2-idl:3.0.1-b001,2
org.drools:drools-compiler:5.3.4.Final,4
org.codehaus.cargo:cargo-core-container-jboss:1.0.1-alpha-2,1
org.ow2.jonas:jonas-management-services:5.3.0-RC1,8
org.eclipse.equinox:org.eclipse.equinox.common:3.6.0.v20100503,17
org.codehaus.plexus:plexus-velocity:1.1.2,35
org.apache.tuscany.sca:tuscany-monitor:2.0-Beta1,4
org.glassfish.packager:glassfish-jcdi:3.0-b74a,3
org.glassfish:javax.servlet.jsp:3.0-b74a,28
org.glassfish:javax.resource:3.1-b09,9
apache-slide:webdavlib:2.0,6
org.eclipse.jetty:jetty-server:8.1.1.v20120215,29
commons-io:commons-io:1.3.2,54
org.ow2.easybeans:easybeans-component-mail:1.1.0-RC1,3
org.opengis:geoapi-pending:2.3-M1,4
org.apache.maven.scm:maven-scm-provider-svn-commons:1.0-beta-4,2
org.apache.solr:solr-core:3.2.0,3
org.springframework:spring-test:2.5.6,21
org.atmosphere:atmosphere-compat-weblogic:0.9.0.RC1,2
com.mysema.querydsl:querydsl-core:1.3.9,1
net.java.dev.stax-utils:stax-utils:20040917,23
org.springframework:spring-aop:2.0.8,3
org.glassfish.ha:ha-file-store:3.1.1-b01,20
org.wicketstuff:multi-text-input:1.4.10,1
org.glassfish.deployment:dtds:3.0-b74b,3
org.glassfish.extras:appserv-rt-frag:3.1-b32,8
com.sun.corba:glassfish-corba-omgapi:3.1.0-b026,4
org.freemarker:freemarker:2.3.19,17
org.codehaus.jackson:jackson-mapper-asl:1.9.11,1
org.jclouds.common:openstack-common:1.3.2,3
org.glassfish.registration:glassfish-registration:3.0.1-b16,2
org.codehaus.sonar:sonar-check-api:2.1RC1,2
org.glassfish.common:annotation-framework:3.1-b06,22
org.mortbay.jetty:jetty-util:6.1.15.pre0,1
org.glassfish.osgi-platforms:equinox:3.1-b40,22
org.glassfish.external:libpam4j-repackaged:3.2-b03,5
org.dspace.dependencies.solr:dspace-solr-common:1.4.0.1,3
org.ow2.jonas:eclipse-compiler:5.1.1,2
org.glassfish.hk2:config:1.6.11,4
org.sonatype.security:security-model-xml:2.2.1,1
org.ow2.util:util-ee-builder-webservice:1.0.12,3
org.glassfish.common:common-util:3.1-b07,3
org.glassfish.admin:launcher:3.1-b05,5
org.glassfish.cluster:cluster-ssh:3.1.1-b05,8
org.jboss.resteasy:resteasy-spring:2.0.1.GA,1
org.ow2.jonas.osgi:javaee-api:5.1.0,4
info.cukes:cucumber-core:1.0.10,1
org.picocontainer:picocontainer:2.10.2,17
com.netflix.curator:curator-client:1.1.4,2
org.codehaus.cargo:cargo-core-container-tomcat:1.0.1-alpha-2,1
com.sun.enterprise:hk2:0.3.32-prelude-b28,11
org.neo4j:neo4j-graph-matching:1.7.2,3
org.jacorb:jacorb:2.3.1-jonas-patch-20110823,12
org.glassfish.docs:basedocs:3.1-b05,28
org.apache.ws.commons.schema:XmlSchema:1.4.3,34
org.jboss.weld:weld-spi:1.0,13
org.apache.cxf:cxf-rt-databinding-jaxb:2.5.4,3
org.apache.archiva:archiva-dependency-graph:1.1,5
org.glassfish:javax.transaction:3.0-b71,25
org.glassfish.deployment:deployment-common:3.1-b08,38
org.glassfish.common:annotation-framework:3.1.1-b10,150
org.eclipse.jetty:jetty-jmx:8.1.1.v20120215,8
org.ow2.util:util-i18n:1.0.7,35
org.glassfish.deployment:deployment-javaee-core:3.1-b12,9
org.apache.cxf:cxf-rt-bindings-soap:2.3.4,1
net.java.dev.swing-layout:swing-layout:1.0.2,3
org.apache.xmlbeans:xmlbeans:2.3.0,426
org.glassfish:javax.management.j2ee:3.1.1-b02,7
org.kohsuke.stapler:json-lib:2.1-rev6,12
org.sonatype.p2.bridge:p2-runtime:1.0.4,1
org.ow2.util:util-ee-deploy-impl:1.0.7,17
org.glassfish.extras:javaee-frag:3.2-b01,11
org.drools:knowledge-api:5.5.0.Final,51
org.glassfish.common:amx-core:3.0-b74b,4
org.apache.openjpa:openjpa-jdbc-5:1.0.4,1
org.eclipse.jetty.orbit:com.sun.el:1.0.0.v201105211818,2
org.glassfish.flashlight:flashlight-extra-jdk-packages:3.1-b32,11
org.glassfish:javax.security.jacc:3.0.1-b01,6
org.hibernate:hibernate-core:3.5.4-Final,11
org.glassfish.cluster:cluster-admin:3.1.1-b02,2
org.jclouds.api:nova:1.3.2,2
org.ow2.util:util-i18n:1.0.5,9
com.sun.grizzly:grizzly-comet:1.9.33,1
org.glassfish.common:glassfish-ee-api:3.0,2
org.glassfish.packager:glassfish-hk2:3.1-b40,23
org.glassfish:javax.annotation:3.1-b38,6
org.jclouds.api:elasticstack:1.2.1,1
org.specs2:specs2-scalaz-core_2.8.2:5.1-SNAPSHOT,1
org.glassfish.admingui:console-updatecenter-plugin:3.1-b30,8
org.ow2.spec.ee:ow2-jpa-1.0-spec:1.0.0,13
org.glassfish.common:container-common:3.0-b64,2
org.jvnet.hudson.plugins:analysis-core:1.15,2
org.eclipse.birt:birt:2.3.1,2
org.codehaus.enunciate:enunciate-core-rt:1.13,2
org.glassfish.flashlight:flashlight-framework:3.2-b03,9
org.springframework:spring-remoting:2.0.7,2
org.hibernate:hibernate-annotations:3.4.0.ga,1
org.glassfish.packager:glassfish-javahelp:3.1.1-b10,30
org.appspy.perf:org.appspy.perf.data:1.0,2
org.glassfish.external:ldapbp-repackaged:3.1.1,3
com.cenqua.clover:clover:2.6.0,1
org.jclouds.common:aws-common:1.4.2,3
org.restlet:org.restlet:1.1.1-b6,4
org.glassfish.packager:glassfish-cmp:3.1-b12,1
org.ow2.easybeans:easybeans-uberjar-openjpa:1.1.0-M1b-JONAS,1
org.glassfish.cluster:gms-adapter:3.1-b08,2
com.sun.jersey:jersey-grizzly:1.6-ea04,2
