artifact,page_rank
org.jvnet:animal-sniffer-annotation:1.0,1.338283
com.sun.grizzly:grizzly-lzma:1.9.31,1.3374245
xpp3:xpp3_min:1.1.3.4.O,1.3367445
org.ow2.carol:carol:3.0.8,1.331585
org.apache.neethi:neethi:2.0.4,1.329171
org.apache.ws.commons.schema:XmlSchema:1.4.7,1.3289755
org.apache.bcel:bcel:5.2,1.327675
org.codehaus.plexus:plexus-classworlds:1.2-alpha-7,1.3249465
velocity:velocity:1.4,1.3243005
org.apache.maven:maven-plugin-api:2.0.4,1.3216995
geronimo-spec:geronimo-spec-jta:1.0.1B-rc2,1.319855
org.codehaus.plexus:plexus-container-default:1.0-alpha-9,1.316897
com.google.guava:guava:10.0.1,1.3061105
com.google.code.findbugs:jsr305:1.3.7,1.3030845
hsqldb:hsqldb:1.8.0.10,1.300968
logkit:logkit:1.0.1,1.3006535
avalon-framework:avalon-framework:4.1.3,1.3006535
net.sourceforge.findbugs:annotations:1.3.2,1.3000075
net.oauth.core:oauth:20100527,1.295426
com.google.collections:google-collections:1.0,1.2935985
commons-httpclient:commons-httpclient:3.0,1.2935645
com.thoughtworks.xstream:xstream:1.3.1,1.2868495
com.sun.xml.bind:jaxb-xjc:2.1.3,1.2863905
org.ow2.spec.ee:ow2-jta-1.1-spec:1.0-M1,1.285957
org.slf4j:slf4j-api:1.6.0,1.2823955
jotm:jotm:2.0.10,1.281826
classworlds:classworlds:1.1-alpha-2,1.279497
com.google.inject.extensions:guice-assistedinject:3.0,1.27761
net.sourceforge.collections:collections-generic:4.01,1.272051
backport-util-concurrent:backport-util-concurrent:2.2,1.2669255
org.ow2.util.asm:asm-commons:3.1,1.259896
com.sun.enterprise:hk2-core:1.0.25,1.258434
com.sun.corba:glassfish-corba-orbgeneric:3.2.0-b002,1.251753
asm:asm-commons:3.1,1.2474265
org.objectweb.monolog:monolog-api:2.1.12,1.236725
commons-digester:commons-digester:1.7,1.2357985
org.codehaus.jettison:jettison:1.2,1.234056
org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0-M1,1.2337415
org.ow2.carol.irmi:irmi:1.1.2,1.233461
org.slf4j:slf4j-api:1.5.2,1.2332825
org.scala-lang:scala-library:2.9.0-1,1.2328235
javax.xml.bind:jaxb-api:2.2.2,1.2268735
org.ow2.util.asm:asm-tree:3.1,1.220881
asm:asm:1.5.3,1.220592
backport-util-concurrent:backport-util-concurrent:3.1,1.2190875
commons-io:commons-io:1.3.1,1.214506
log4j:log4j:1.2.12,1.213741
net.sourceforge.findbugs:jsr305:1.3.2,1.2099585
org.codehaus.plexus:plexus-component-api:1.0-alpha-22,1.2097375
org.jvnet:tiger-types:1.4,1.2094315
com.sun.pkg:pkg-client:1.122-38.2492,1.2071705
org.springframework:spring-asm:3.1.0.RELEASE,1.2034135
xalan:serializer:2.7.1,1.1995035
org.freemarker:freemarker:2.3.16,1.196877
org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec:1.1.2,1.191216
org.eclipse.jetty:jetty-util:8.0.0.RC0,1.1910885
regexp:regexp:1.3,1.18785
org.scala-lang:scala-library:2.8.1,1.180659
org.springframework:spring-asm:3.0.7.RELEASE,1.174165
org.springframework:spring-core:3.1.0.RELEASE,1.1684785
com.sun.enterprise:hk2:1.1.0,1.165682
org.glassfish.hk2:osgi-resource-locator:1.0.0,1.16405
org.springframework:spring-core:2.0.8,1.16371
com.sun.pkg:pkg-client:1.122-38.2791,1.162044
org.glassfish.hk2.external:asm-all-repackaged:1.0.25,1.1606755
org.apache.maven.wagon:wagon-provider-api:1.0-beta-2,1.1570715
org.codehaus.plexus:plexus-expression-evaluator:1.0-alpha-1,1.1493195
org.springframework:spring-context:3.1.0.RELEASE,1.1481975
com.sun.pkg:pkg-client:1.122-38.2471,1.1477725
commons-lang:commons-lang:2.0,1.1476365
junit:junit:4.7,1.1427405
com.sun.grizzly:grizzly-utils:1.9.19-beta7,1.1408195
com.sun.grizzly:grizzly-config:1.9.19-beta6,1.1392045
org.apache.ant:ant-launcher:1.8.2,1.1375725
commons-logging:commons-logging:99.0-does-not-exist,1.136255
commons-collections:commons-collections:2.1,1.1332035
javax.jws:jsr181-api:1.0-MR1,1.131087
com.google.protobuf:protobuf-java:2.4.1,1.128384
net.sf.opencsv:opencsv:2.1,1.127279
com.sun.enterprise:config:1.1.0,1.1252305
com.sun.corba:glassfish-corba-orbgeneric:3.0.0-b041,1.1241255
commons-pool:commons-pool:1.3,1.1199605
commons-digester:commons-digester:2.0,1.119731
com.sun.grizzly:grizzly-lzma:1.9.19-beta7,1.119663
org.scala-lang:scala-library:2.9.2,1.1190255
xmlpull:xmlpull:1.1.3.1,1.115957
commons-modeler:commons-modeler:2.0.1,1.115532
net.sourceforge.saxon:saxon:9.1.0.8,1.110296
org.ow2.util:util-archive-api:1.0.12,1.1093865
org.shoal:shoal-gms-impl:1.5.30,1.107338
org.codehaus.plexus:plexus-utils:1.5.15,1.106454
org.slf4j:slf4j-log4j12:1.6.4,1.1005125
org.codehaus.plexus.cache:plexus-cache-ehcache:1.0-alpha-2,1.0999345
org.jclouds:jclouds-core:1.2.0,1.0984555
org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1,1.0941545
org.ow2.easybeans:easybeans-asm-tree:3.0,1.091511
com.sun.grizzly:grizzly-config:1.9.19-beta5,1.091409
com.sun.grizzly:grizzly-utils:1.9.19-beta6,1.089097
org.jvnet:mimepull:1.6,1.0882555
xalan:xalan:2.7.1,1.086955
javax.faces:jsf-impl:1.2_08,1.085918
org.mortbay.jetty:servlet-api-2.5:6.1.5,1.0856205
org.springframework:spring-tx:2.5.6,1.079305
org.codehaus.fabric3.spec:sca-api-r1.0:0.2.1,1.0792455
javax.transaction:jta:1.0.1B,1.0784465
com.sun.grizzly:grizzly-lzma:1.9.19-beta6,1.0756925
com.sun.grizzly:grizzly-framework:1.9.18-k,1.075174
net.java.dev.stax-utils:stax-utils:20060502,1.0745705
org.springframework:spring-context:3.0.7.RELEASE,1.073474
org.slf4j:slf4j-api:1.4.2,1.0702015
com.sun.jersey:jersey-server:1.12,1.069581
org.slf4j:slf4j-api:1.5.5,1.0678895
org.glassfish.ha:ha-api:3.1.8,1.064855
org.apache.ant:ant:1.8.2,1.063716
org.apache.felix:org.osgi.core:1.4.0,1.062509
com.sun.xml.bind:jaxb-impl:2.2.3-1,1.0607325
org.apache.httpcomponents:httpclient:4.1.2,1.060571
net.sf.ehcache:ehcache:1.5.0,1.0576215
xerces:xercesImpl:2.6.2,1.0573155
org.apache.maven:maven-project:2.0,1.0521985
org.springframework:spring-core:3.0.6.RELEASE,1.0519945
commons-httpclient:commons-httpclient:3.1-rc1,1.0472515
org.clojure:clojure:1.3.0,1.0457895
org.shoal:shoal-cache:1.5.30,1.04335
com.sun.grizzly:grizzly-utils:1.9.19,1.043129
net.jcip:jcip-annotations:1.0,1.0410125
com.sun.grizzly:grizzly-lzma:1.9.19,1.036635
org.slf4j:slf4j-api:1.6.6,1.033881
com.sun.grizzly:grizzly-http:1.9.31,1.033711
wsdl4j:wsdl4j:1.6.1,1.0310165
org.codehaus.plexus:plexus-component-api:1.0-alpha-20,1.027812
com.sun.enterprise:osgi-adapter:1.1.0,1.027778
org.codehaus.plexus:plexus-interpolation:1.14,1.0250835
org.apache.maven.doxia:doxia-sink-api:1.0-alpha-7,1.0242675
com.sun.grizzly:grizzly-config:1.9.18-o,1.0217345
commons-cli:commons-cli:1.1,1.021658
org.mongodb:mongo-java-driver:2.7.3,1.021607
com.sun.grizzly:grizzly-http:1.9.35,1.0208505
com.sun.grizzly:grizzly-config:1.9.21,1.020162
avalon-framework:avalon-framework:4.1.5,1.019482
org.mortbay.jetty:jsp-api-2.1:6.1.5,1.015266
org.ow2.util:util-ee-metadata-common-api:1.0.14,1.0133365
dtdparser:dtdparser:1.21,1.012597
