"artifact","direct_dependencies"
"org.appfuse:appfuse-web-common:2.0-m3","16"
"org.apache.myfaces.buildtools:myfaces-builder-plugin:1.0.6","16"
"org.apache.maven.plugins:maven-dependency-plugin:2.2","16"
"org.glassfish.packager:metro:3.1.1-b10","16"
"org.openl.rules:org.openl.rules.workspace:5.9.0","16"
"org.pustefixframework:pustefix-core:0.15.23","16"
"directory:apacheds-main:0.9","16"
"org.apache.activemq:activemq-optional:5.4.0","16"
"org.dspace:dspace-xmlui-wing:1.8.0-rc1","16"
"org.apache.solr:solr-core:3.1.0","16"
"org.glassfish.web:web-glue:3.1","16"
"org.apache.maven:maven-core:3.0.3","16"
"org.atmosphere.samples:atmosphere-spring-websocket:0.9.0.RC2","16"
"net.bpelunit:framework:1.5.0","16"
"com.legsem.legstar:legstar-jaxws-generator:1.5.2","16"
"org.kuali.student.common:ks-common-util:1.2","15"
"org.pustefixframework:pustefix-core:0.17.4","15"
"org.openl.rules:org.openl.rules.repository.jcr.jackrabbit:5.7.3","15"
"org.pustefixframework:pustefix-core:0.16.7","15"
"org.kuali.student.common:ks-common-ui:1.2.2-M4","15"
"org.ow2.easybeans:easybeans-all:1.0.0.RC3_JONAS","15"
"com.googlecode.metridoc:metridoc-core:0.4.2","15"
"org.apache.solr:solr-core:3.6.1","15"
"org.kuali.student.common:ks-common-util:1.2-M6","15"
"ch.semafor:gendas:1.0.1","15"
"org.ow2.jonas.osgi:javaee-api:5.1.0","15"
"org.ow2.jonas.osgi:javaee-api:5.1.6","15"
"org.springframework:spring-webflow:1.0.2","15"
"org.glassfish.packager:metro:3.1-b30","15"
"org.glassfish.packager:metro:3.1-b31","15"
"org.openengsb.ui:org.openengsb.ui.common:2.0.4","15"
"org.sonatype.sisu.inject:guice-plexus-shim:2.2.0","15"
"org.sonatype.sisu.inject:guice-plexus-shim:2.2.1","15"
"org.eclipse.jetty.osgi:test-jetty-osgi:7.6.1.v20120215","15"
"org.openengsb.core:openengsb-core-workflow:1.1.7.RELEASE","15"
"org.apache.solr:solr-core:1.3.0","15"
"se.vgregion.paf-web:paf-web-viewer-module-portlet:1.0","15"
"org.pustefixframework:pustefix-core:0.18.26","15"
"com.payneteasy.superfly:superfly-service:1.2-10","15"
"org.jclouds:jclouds-allblobstore:1.4.0","15"
"org.glassfish.core:kernel:3.1.1-b02","15"
"org.jclouds:jclouds-allblobstore:1.3.2","15"
"net.sourceforge.maven-taglib:maven-taglib-plugin:2.4","15"
"org.ow2.jonas:jonas-deployment:5.1.0-M3","15"
