"artifact","label"
"com.sun.enterprise:tiger-types-osgi:1.0.0","183"
"org.glassfish:bean-validator:3.0-JBoss-4.0.2","184"
"com.sun.enterprise:auto-depends:1.0.0","183"
"org.glassfish.deployment:dol:3.0.1-b18","190"
"org.glassfish:javax.servlet:3.0.1-b18","187"
"org.glassfish:javax.annotation:3.0.1-b18","188"
"org.glassfish:javax.transaction:3.0.1-b18","189"
"org.glassfish:javax.enterprise.deploy:3.0.1-b18","190"
"org.eclipse.persistence:javax.persistence:2.0.0","191"
"org.glassfish:javax.resource:3.0.1-b18","192"
"org.glassfish.common:common-util:3.0.1-b18","193"
"org.glassfish.deployment:deployment-common:3.0.1-b18","195"
"org.glassfish.common:internal-api:3.0.1-b18","195"
"org.glassfish.external:asm-all-repackaged:3.0.1-b18","196"
"org.glassfish.common:glassfish-api:3.0.1-b18","183"
"com.sun.enterprise:config-types:1.0.0","183"
"com.sun.grizzly:grizzly-utils:1.9.18-o","199"
"org.glassfish.common:annotation-framework:3.0.1-b18","200"
"org.glassfish:javax.ejb:3.0.1-b18","201"
"org.glassfish.admin:config-api:3.0.1-b18","207"
"com.sun.grizzly:grizzly-config:1.9.18-o","207"
"com.sun.grizzly:grizzly-http:1.9.18-o","207"
"com.sun.grizzly:grizzly-framework:1.9.18-o","199"
"com.sun.grizzly:grizzly-rcm:1.9.18-o","206"
"com.sun.grizzly:grizzly-portunif:1.9.18-o","207"
"com.sun.enterprise:osgi-adapter:1.0.0","183"
"org.glassfish.admin:monitoring-core:3.0.1-b18","210"
"org.glassfish.common:stats77:3.0.1-b18","210"
"org.glassfish.flashlight:flashlight-framework:3.0.1-b18","212"
"org.glassfish.flashlight:flashlight-agent:3.0.1-b18","212"
"com.sun:tools:1.6.0","213"
"org.glassfish.external:management-api:3.0.0-b012","214"
"org.glassfish.gmbal:gmbal:3.0.0-b023","214"
"org.jomc:jomc-ant-tasks:1.2.2","222"
"org.jomc:jomc-util:1.2","217"
"org.jomc:jomc-modlet:1.2","218"
"org.jomc:jomc-model:1.2","219"
"org.jomc:jomc-tools:1.2.2","222"
"org.apache.bcel:bcel:5.2","222"
"jakarta-regexp:jakarta-regexp:1.4","222"
"commons-io:commons-io:2.1","223"
"org.apache.velocity:velocity:1.7","24"
"org.sonatype.nexus:nexus-simple-memory-realm:1.4.0","250"
"org.sonatype.security:security-system:1.1.3","233"
"org.jsecurity:jsecurity:0.9.0-RC2-sonatype","112"
"commons-beanutils:commons-beanutils:1.7.0","112"
"org.codehaus.plexus:plexus-container-default:1.2.1.4","233"
"org.codehaus.plexus:plexus-classworlds:1.4","230"
"org.apache.xbean:xbean-reflect:3.4","565"
"com.google.code.google-collections:google-collect:snapshot-20080530","232"
"junit:junit:3.8.2","233"
"org.codehaus.plexus:plexus-component-annotations:1.2.1","233"
"org.sonatype.spice:plexus-ehcache:1.0.2","24"
"net.sf.ehcache:ehcache:1.5.0","24"
"backport-util-concurrent:backport-util-concurrent:3.1","237"
"commons-collections:commons-collections:3.2","238"
"net.sf.jsr107cache:jsr107cache:1.0","239"
"org.codehaus.plexus:plexus-interpolation:1.6","240"
"org.sonatype.plexus.appevents:plexus-app-events-api:1.0.0","241"
"org.sonatype.plexus.appevents:simple-event-multicaster:1.0.0","242"
"commons-codec:commons-codec:1.4","243"
"org.sonatype.configuration:base-configuration:1.0","244"
"org.mortbay.jetty:servlet-api-2.5:6.1.12","245"
"org.sonatype.security:security-configuration:1.1.3","247"
"org.sonatype.plexus:plexus-cipher:1.5","247"
"org.easymock:easymock:2.4","248"
"org.codehaus.plexus:plexus-utils:1.5.5","249"
"org.slf4j:slf4j-api:1.5.6","250"
"org.slf4j:slf4j-log4j12:1.5.6","250"
"org.slf4j:jcl-over-slf4j:1.5.6","252"
"org.nakedobjects:nof-reflector-core:3.0.3","255"
"org.nakedobjects:nof-core:3.0.3","255"
"org.nakedobjects:no-application-library:3.0.3","255"
"org.nakedobjects:no-architecture:3.0.3","256"
"log4j:log4j:1.2.8","257"
"org.hibernate:hibernate-search:3.4.2.Final","773"
"org.hibernate:hibernate-search-analyzers:3.4.2.Final","773"
"org.apache.solr:solr-analysis-extras:3.1.0","773"
"org.apache.solr:solr-core:3.1.0","773"
"org.apache.solr:solr-solrj:3.1.0","773"
"org.apache.lucene:lucene-highlighter:3.1.0","263"
"org.apache.lucene:lucene-memory:3.1.0","264"
"org.apache.lucene:lucene-misc:3.1.0","265"
"org.apache.lucene:lucene-spatial:3.1.0","266"
"org.apache.lucene:lucene-spellchecker:3.1.0","267"
"org.apache.solr:solr-commons-csv:3.1.0","268"
"commons-lang:commons-lang:2.4","269"
"org.apache.lucene:lucene-smartcn:3.1.0","270"
"org.apache.lucene:lucene-stempel:3.1.0","271"
"org.hibernate:hibernate-core:3.6.10.Final","105"
"commons-collections:commons-collections:3.1","273"
"org.apache.lucene:lucene-core:3.1.0","274"
"org.apache.lucene:lucene-analyzers:3.1.0","275"
"org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final","276"
"jgroups:jgroups:2.8.0.GA","277"
"org.glassfish.build:maven-glassfishbuild-plugin:3.1-b39","324"
"commons-io:commons-io:1.3.1","279"
"com.sun.enterprise:hk2-maven:1.0.74","142"
"com.sun.enterprise:hk2-core:1.0.74","142"
"org.glassfish.hk2:class-model:1.0.74","140"
"org.apache.maven:maven-artifact:2.0.4","283"
"org.osgi:osgi_R4_core:1.0","284"
"org.apache.maven:maven-plugin-api:2.0","285"
"org.apache.maven:maven-core:2.0.7","457"
"org.apache.maven:maven-settings:2.0.7","287"
"org.apache.maven.wagon:wagon-file:1.0-beta-2","288"
"org.apache.maven:maven-plugin-parameter-documenter:2.0.7","289"
"org.apache.maven.wagon:wagon-http-lightweight:1.0-beta-2","292"
"org.apache.maven.wagon:wagon-http-shared:1.0-beta-2","292"
"jtidy:jtidy:4aug2000r7-dev","292"
"org.apache.maven.reporting:maven-reporting-api:2.0.7","294"
"org.apache.maven.doxia:doxia-sink-api:1.0-alpha-7","294"
"org.apache.maven:maven-profile:2.0.7","295"
"org.apache.maven:maven-model:2.0.7","296"
"org.apache.maven.wagon:wagon-provider-api:1.0-beta-2","297"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1","356"
"org.apache.maven:maven-repository-metadata:2.0.7","299"
"org.apache.maven:maven-error-diagnostics:2.0.7","300"
"commons-cli:commons-cli:1.0","457"
"org.apache.maven.wagon:wagon-ssh-external:1.0-beta-2","303"
"org.apache.maven.wagon:wagon-ssh-common:1.0-beta-2","303"
"org.apache.maven:maven-plugin-descriptor:2.0.7","304"
"org.codehaus.plexus:plexus-interactivity-api:1.0-alpha-4","457"
"org.apache.maven:maven-artifact-manager:2.0.7","299"
"org.apache.maven:maven-monitor:2.0.7","307"
